clean_text,sentiment,language
useless customer support i am not getting otps sent to my phone in south africa which has worked for decades it suddenly stopped working yesterday now that phone number has been blocked i ve spent 3 hours on chat and phone calls with amazon cistomer support where i repeated the simple problem over and over and over again and no one could help this was the worst customer service i have ever received no exaggeration so we set up a new account with my wife s details which was fine when we tried to enter h e ozone number once again no otp arrived at her phone they keep on insisting we are making the error and yet it is their system i e been using amazon and the otp for many years and it suddenly stops working but not one of the 12 customer service agents could help,negative,en
i think that this company is awesome i think that this company is awesome they have a code if the product is late then they return your cash back to your card,positive,en
this used to be 5 star this used to be 5 star and i still use amazon for almost everything but it seems that amazon is getting harder to work with the prices are going up and i am concerned about my privacy with them,positive,en
they lost my products they lost my products then couldn t help solve the problem when i called wow so disappointing,negative,en
amazon useless at resolving compalint i bought a 10 year x sense smoke alarm from amazon which failed after 18 months following amazon s instructions i contacted the seller at least 4 times but they ignored me i then complained to amazon but they refused to help because they only fulfilled it they are obviously in touch with this company and paying them money but they won t take up my complaint with them very poor practice be warned i won t be buying anything else which is fulfilled by amazon i would normally ask my bank for a charge back but i don t think i can do it in this case because the money went to amazon not directly to the seller,negative,en
this business website is superb this business website is superb world know this website buying it all products i e home groceries gadgets electronic devices garments,neutral,en
i have paid for a book but i am being stopped from downloading itg i cannot download a book that i bought,negative,en
amazon i got an email from amazon that the package was left in my letterbox at 9 08 but i don t know if the driver was in the right address but my nephew was all day in home and i check camera and nothing was push to my letterbox it is not the first time when the drivers do not bother to press the door bell or knock to the door or leave the package on front of the door and mark as a delivered that was good company before now they are going down and still charge for prime this is joke,negative,en
excellent customer service have used amazon from uk for several years and overall have had excellent service safe shopping experience and very good value for money they respond very quickly and helpfully to any issues i wish other online communication with big companies was this easy,positive,en
consistent excellence i have never had any reason to regret any order from amazon,positive,en
one star review deleted i wrote a one star review for some oral b brush heads i had been in contact with oral b and they confirmed they were non genuine initially my review was published but then a few days later it disappeared what is the point of raising these issues to make online purchases safer if genuine negative reviews are removed,negative,en
good service so far review text not found,positive,en
excellent company i buy many items in amazon i am never disappointed fast delivery no fees port above 30 very well packaged goods nothing wrong serious business,positive,en
i used amazon customer service by text i used amazon customer service by text wish i hadn t bothered i had ordered an alexa beginning of january for 24 99 but it wasn t get delivered for another month after ordering this i had taken on a free prime trial so wondered if i would get my order quicker with this the rep said only way would be to cancel and order again i said ok didn t realise they couldn t order it but thought ok they ve checked it s in stock so go ahead when i went back to buy the alexa it is now doubled in price from 24 99 to 49 99 i would expect a customer service person who had any sense would notice the difference in price and not advice someone to cancel an item they can then not afford to reorder please do not wrongly presume these people are efficient at their jobs and double check what they saying before confirming i wish i had,negative,en
cant complain about amazon cant complain about amazon get my goods on time they pick up when they say they will always happy with prices,positive,en
bad customer service and no refund recently buy front rear and fog light tint that were supposed to custom fit for my bmw 640i i took the tint to a 5 star tint installation dealership to have it installed well to my surprise the front was not a custom fit the installer recommended not to install the rear and return the front and contact rvinyl i contacted them and sent photos of the tint their customer rep melinda p stated they will not refund me because it was installed by a third party hence i am not a professional installer but using that as an excuse not to refund me and the fact i still have the rear tint still in the shipping plastic i would not order any custom tint cause it will not be custom fit and no refund your choice buying from this company,negative,en
this is for their return service its been almost a whole three weeks since i send my item back and still haven t gotten a refund their return service is so slow i m really mad i need my money now the fact i contact three people didn t help they all say the same thing wait another week like the heck smh i m disappointed in amazon love them for their shipping but beware of sending items back,negative,en
amazon customer services specialist amazon customer services specialist refund team have cut me off 4 times now by disabling the chat and once upon requesting a call back and so i have given questionnaire feed back and the end of chat to say was this service helpful no with a 1 star review and my feed back experience comment as very pour amazon have not refunded my all of my return they have only part refunded me my return when all items weee returned at the same time after escalating my concerns amazon are still insisting for me to chase i have had a marilyn and a chetan cut me off i have it the other names i expected a good customer support from amazon but it s been extremely poor,negative,en
easy and convenient its always convenient to shop on amazon they have most products and delivery is so fast if there are ever any issues with any purchase their customer service team will help and make it as smooth a process as they can to resolve they offer the feature to call you straight back so its not even at your own cost,positive,en
four stars great price and super fast shipping,positive,en
in 7 years in 7 years and nearly 4 as a prime member i ve had one single bad order and amazon refunded me after providing pictures of the problem some oil that was delivered busted clearly during delivery there are times where even if they don t offer the best price i find myself ordering them for the quick delivery times and guarantee that i won t have any hassle from the seller,positive,en
i use to swear by amazon i use to swear by amazon but now i have zero respect for there business the countless times my package instructions were ignored and left out in the open for all to see and steal the countless times i reported fraud scammers using their site for profit and not giving refunds or stealing peoples identities they use foreigners from another country who sometimes can t even speak clear english or won t escalate your call to a manager or give a number to an american speaking person they don t even have a corporate number to contact or an email to file a complaint but sure they love immediately taking your money out but refuse to fix the problems plagued with their customer service and package delivery methods,negative,en
bad customer service drivers kept leaving my parcel on door step whiles not at home and without me requesting a safe place alot of my parcels got stolen due to their drivers fault and instead of investigating they blocked my account permanently and blamed it on too many refunds instead of their drivers,negative,en
there are still good people around god bless all i brought this table and dinning chairs l requested to return the items back within a week the seller name monica replied and refunded my money in 24 hours l am so grateful and happy thank you so much,positive,en
i have been using amazon for a while i have been using amazon for a while and really like their customer service i wish they audit sellers on the platform properly because many ship from china and return policy is not clear on those,neutral,en
ordered off them since 2013 never had a ordered off them since 2013 never had a problem they always make things right even if they pay for it i ordered off of wish and it was a nightmare i ll stick to amazon,positive,en
i have had my prime acc and buying acc i have had my prime acc and buying acc closed after having 2 deliveries stolen from my doorstep driver didn t follow my safe place instructions so nothing i could have done and totally not my fault got a police report as requested but made no difference had no refund for stolen items total of nearly 200 lost and treated like a criminal amazon even deleted an email telling me i d be notified when the refund has been prossesed can t believe a company their size is treating honest and loyal customers like this i ve had no notification email or explanation at all just told i ve misused the service when i try to log in i am disgusted and left with no way of getting my money back or even get an reason for all this i have never even returned a single item after years of buying someone stole my deliveries because they were not delivered correctly and that s enough to be blacklisted really amazon totally ridiculous shame on you,negative,en
is a great company for shopping online is a great company for shopping online never had a bad experience my items always arrived on time my items has been exactly what i ordered and they have great prices,positive,en
i ve always had very good service as a prime member usually the service is excellent and very quick on the few occasions where there has been a problem amazon have been quick to sort it out,positive,en
the worst experience the worst experience i tried the audible 1 month free then didn t manage to cancel subscription but your customer support is awful nor could i cancel subscription nor can i loggin to use a new one that i paid for as it billed me the next month,negative,en
no refund for undelivered goods i ordered xmas presents for my children which didn t arrive i was given a credit for these items and i reordered using the credit again the item never arrived despite it requiring a signature that was never given and they have refused to provide me with a refund for the goods that never arrived because i used the credit which is apparently not refundable even if you do not receive what you ordered a total scam do not agree to take the credit when you have an issue as you won t get your money back if it doesn t arrive,negative,en
loved amazon now its just an invasion of privacy silent your alexa loved amazon but the 35 billion deal happened because of alexa continually collecting data in your home press silent on alexa visit alexa com as they now own that as well and you will see it s roots the collection of web data before a spy in your home,neutral,en
very disappointed i recently ordered some things from amazon and i didn t realize my account was short and they charged another card in my wallet and came within 1 59 of bouncing my rent check this would not have been necessary if i had been contacted before it would have been paid for by another source but i wasn t contacted prior to their going ahead with this i ve had a rough year been in the hospital 3 times and the second time had my right leg amputated below the knee bought all the hardware from amazon wheelchair walker house ramp and then a second walker these people need to realize we are people too i m very disappointed in amazon at the moment the worst part is they don t even seem to care,negative,en
i used to like amazon back in the day i used to like amazon back in the day free shipping would get your items shipped within 2 business days now they re trying to force amazon prime down everyone s throats and it takes 5 business days to ship items you purchased that qualified for the free shipping they re going to bring themselves down i m done shopping with them,negative,en
where is my delivery where is my delivery over 10 days or gone missing,negative,en
if i could rate zero i would if i could rate zero i would husband waited up after working a night shift for my daughters christmas present expensive item as we needed a code to receive the package big mistake as the driver and warehouse staff would know that it was an expensive item 9th of december package delivered and when opened your honesty couldn t write it half a bottle of fanta in the box not the apple ear pods that we ordered husband ran out to the driver to tell him obviously he didn t care he is just a driver several web chats and phone calls later i still don t have my item or a refund first phone call i requested a replacement but i was told they couldn t send a replacement so they would process a refund with 5 working days now the 18th of december still no refund so i call them again to be told they are waiting for the return of the item i received they want me to return half a bottle of fanta to them before they issue the refund are you joking after covid etc for someone to send that in a package is disgusting god knows what germs etc were on that bottle that had been opened and half the content s removed to get the weight of the package right for delivery my complaint has now been escalated past the call centre manager to deal with i am still working right up to christmas and i cannot just answer my phone as and when they choose to call me so please please do not order expensive items from these companies shop on the high street if you can i now have to borrow the money to be able to buy another pair for my daughter s christmas present amazon shame on you,negative,en
i won t be buying from amazon ever i won t be buying from amazon ever again not sure what has happened to my delivery can t speak to anyone automated service sends you round in circles they are now totally incompetent in my opinion,negative,en
good product shipping on time review text not found,positive,en
bought bottled water in may on a 28 day bought bottled water in may on a 28 day delivery schedule since then delivery date has been moved 4 times now mid august still nothing asked for refund but said they can t pay be back now on indeterminate delivery day with no possibility of ha i g a refund paid over 20 awful situation had very poor customer service since ordering and still not had a refund,negative,en
amazon scam my brother in law ordered a google pixel 7 in googlestore in amazon and he received an ice cream scoop a total scam we have written a police report and we need a refund,negative,en
i joined amazon prime 3 months ago all i joined amazon prime 3 months ago all was good until i noticed they were not only taking one subscription but two one from the uk and one from the usa apparently this is a common problem trying to sort it out isa a nightmare can t find who i have to contact uk says it s the usa the usa says it s uk when i did manage to speak to a human she was in india and i could not understand what she was saying i will never deal with amazon again,negative,en
buy with confidence its my first time to buy to america thru online but only thru amazon i got my moneys worth as other online site do shipped but with a ridiculous shipping cost to middle east anyway got a good experience except that there are item that can not be sent like i e motherboard others are fine as long as it is in small stuff,positive,en
amazon falling off amazon use to be my go to store to shop here lately my experience has been horrible the drivers are late deliver time and dates constantly changing even when you paid extra money for specific time they also been using usps as of late even big packages and they want deliver i have to pick my item up im starting not wanting to shop in amazon anymore,negative,en
always makes things right built their business on caring for customers complaints quickly and fairly which has built them into a store that literally sells everything i m always confident that they stand behind their products and will make things right,positive,en
following is a review i sent to amazon following is a review i sent to amazon after a recent order for three bags different loose leaf tea from tealyra all three were ordered on the same day one arrived and the other two were identified as undeliverable atrocious customer service no delivery of products i was notified of the problem with delivery which in itself was a puzzle as i ordered three items from the same company 1 was delivered but the other 2 had a problem i gave time for a refund to be made products were purchased on 10 2 and finally i called today 10 16 and was then informed that it would take 5 7 days for the refund to be carried out unless i decided to agree to an amazon card in which case it could be immediate in other words if i agree to another amazon product then i can get a refund immediately otherwise you will have held on to my money for a total of 19 21 days you are always ready to take my money the moment i order something but to refund takes days if not weeks additionally if i had not taken the time to call about this issue i would never have received a refund i wonder how much money you take from this kind of poor customer service this really is verging on scam territory to say your customer service is disappointing is an understatement,negative,en
suffered a very bad experience over the suffered a very bad experience over the xmas period because they were offering delivery on new years eve i thought why not there are lots of people probably who don t celebrate new year so i make an order which includes lemsip so first of all i sit for four hours waiting for a delivery which failed to arrive because the driver couldn t find me all the others do but this one didn t and not to rub salt into the wounds i later discovered they hadn t included the one six pack of lemsip i had still have got a cold of sorts and now i discover i m listed on amazon as someone vulnerable and likely to od on lemsip well thankyou amazon you ve excelled yourselves and lastly please pass on my best wishes to the driver who turned out to be someone with less brain than a newt i hope the party he or she attended instead of completing his or her job was worth leaving a 76 year old someone in great discomfort at new year well done it will be a story to tell your grandkids if ever you discover how to have them of course amazon you really must start vetting these casual drivers you take on they are not doing your reputation any good at all,negative,en
horrible support horrible support activated amazon prime free trial but money was charged from my bank account no way of refunding it since its a free trial thanks a lot for not helping and blocking accounts,negative,en
customer service hung up customer service hung up on me when i asked to speak to a manager moreover i printed a return slip and they would not honor it closed my account,negative,en
i ordered a 32 once jug of maple syrup i ordered a 32 once jug of maple syrup for by brother s birthday and father s falling on the same date a day or so after i ordered it i received a message from amazon that it would arrive early on thursday by thursday i received the message that the item was undeliverable for an unexplained reason and my money would be refunded no other explanation was provided since amazon customer service does now allow you to speak to a representative you now remain in the dark also i notice they did not send me any communication to rate my customer service experience regarding this order,negative,en
i love love love amazon i love love love amazon you can get anything you need and everything you need from this site sometimes there are problems but for the most part it always seems to work great,positive,en
product delivery almost every time we have an order go through boise it becomes missing and now they shipped it to idaho falls where there is the worst reviews i have ever read and i will have to wait to report it or something missing it was supposed to stop in pocatello idaho not idaho falls idaho falls sounds like a lot of mix up or a small group stealing going on where it the check and balance team for,negative,en
awful awful i ordered a torque wrench and pair of trainers both out for delivery on same date neither turned up which is bad enough but they had the cheek to send me an email stating i had asked for return and refund i didn t i wanted the items won t use again amazon uk,negative,en
so many reasons why i m giving amazon so many reasons why i m giving amazon only 2 stars 1 the product offerings have gone downhill they re no longer the cheapest i can usually find a better deal elsewhere the quality is low and sellers can easily manipulate the system and sneak by 2 it s nearly impossible to complain to or communicate with amazon for any reason how can customers hold amazon accountable without a forum to do so 3 items sold and shipped by amazon often use usps which i won t know until i go to track the order usps won t deliver packages to my door but the whole reason i m ordering online is for delivery service to my door it s very difficult for me to get out of the house 4 amazon s search feature is not great i usually have to use google search and google lens to find the product with an amazon shopping link 5 i feel like i am actually the product that amazon is selling with its invasiveness online 6 two stars instead of one because of how easy it is to get refunds for most products,negative,en
this company is going down the hill so this company is going down the hill so fast their customer service is now terrible and doesn t seem to care they are unhelpful got attitude and don t know what to do to resolve issues unless that s what they are told to do their so called same day and one day delivery for prime members which is not cheap at all became three days delivery and may be no delivery at all then you have to deal with their customer service which is a nightmare and gets you no where what a shame,negative,en
one stop shopping whenever i have to purchase something online i always start on amazon if they don t have what i m looking for i usually reconsider my need before going elsewhere in seven years of being a customer i ve seldom been disappointed,positive,en
boycotting israel cancelled my subscription they signed a 1 22b contract to provide cloud technology to the israeli government and military and offer limited cloud services in palestine gaza,negative,en
i have been an amazon shopper since i have been an amazon shopper since 2004 i have had issues however amazon customer support is awesome i have always been pleased thank you,positive,en
i ordered some kn95 masks on amazon back in march i ordered some kn95 masks back in march 2020seller message said they were shipped on 03 20 2020i waited for them to arrive but they never did since they were coming from china i understood there might be delays and decided to be patient contacted amazon but they said the order was too old for a refund tried to leave a review on amazon but they couldn t find a record of the item so i couldn t review it there a one star review is being generous for this review,negative,en
their returns policy has changed i have been an amazon customer for many years and also as a prime customer the main reason is because of their normally excellent returns policy i ve just started a return for an item within the returns timeline only to have to jump through hoops and several arguments to get them to accept the return now the main reason for me to buy from amazon has been destroyed someone needs to change this policy of belligerence however it won t be me i m going to buy from elsewhere the replacement for this product is twice the price of the return but i ve placed an order with another retailer now,negative,en
if i could give a zero review i would if i could give a zero review i would ordered item and never received it amazon requested crime number which i provided and everytime i call advisers are telling me to wait 50 60 days to get back in contact they are a fraudulent buisness that make fun at robbing from people,negative,en
misdelivery just got a large heavy amazon package clearly addressed to my neighbor across the street is it really that hard to match the package to the house,negative,en
ordered two packages one came yesterday ordered two packages one came yesterday without problemstoday the driver could not find my house who the fu isdelivering these packages,negative,en
reliable amazon comes through for me every christmas all my orders this year arrived earlier than estimated and everything was perfect no probs i would and have recommend amazon,positive,en
wouldn t give them 1 star wouldn t give them 1 star terrible been a prime member for long time not buy much has my work and delivery times clash i ordered couple of things never arrived next day now the cloth dye get home from work and it says in my email delivered to the resident who now me trying to explan to them not received it s like hitting my head against a wall different customers service people tell me other that it was a mistake it s not been delivered now someone else saying it has to who want to scream looks like not going to get the item has amazone are playing head games with me going to stop paying prim membership it s not working and the service is disgusting never delivery on the time it should now this feel like i m the lier when i was working you expect them to leave a calling card in your post box to say who has your item and to collect it but no just its been handed to the resident not me now i m not the one to moan about it but i am paying a membership and amazone are not putting customers first just now orderd same item from ebay which i know i will receive waist of time and money being a prime member it s gone down hill,negative,en
testing website script script script,positive,en
amazon com amazon is a good online retailer but i ve found their prices to be a little higher than ebay s i usually don t buy from amazon anymore since every time i do a price comparison amazon is higher on everything but it s still a good place to shop,positive,en
horrific 5 month experience dealing horrific 5 month experience dealing with amazon customer service had a gift card that wasn t delivered at christmas i have the delivery person on video on my ring door camera amazon said they had record it was delivered and used i called amazon multiple times and each time was told it was being escalated and sent to other department and would be resolved in 6 weeks nope after 5 months of hearing this i was told the order was no longer in their system and they couldn t see any information so no return or credit for a 250 gift card amazon service agents and the company are liars and thieves they should be ashamed of how they waste people s time and money,negative,en
one worst and fraud company one worst and fraud company f c do not anymore take money from bank illegally without my permission just shorted with my bank be careful,negative,en
customer service sucks sent my item back on sept 18 as of today oct 15 they have not received it back did a online chat and the rep closed it without saying anything then i called and that rep was no help never will i ever order anything from amazon,negative,en
bad bad amazon for the second time in this month amazon have take my money but can deliver the item i ordered they can t contact the company that is selling through them or the shipping for the so after a week they have to refund my payment but all the time there website is saying that my item is in transit but is running late an hour or two is running late days is not running late it s lost in a black hole or you get a part order that is delivered by the post office and the rest again can t be found and don t know if they had the stock when they took my money and yet again they can cancel the order right away but can t do a refund for a week or more so taking money for a service or a item that they don t have and can t supply does this classed as a type of fraud or something like it after all they must have the best computer stock control in the world or not so why complete the sale if you can t send your complete order find another company you should get a better service,negative,en
i had to call three times to get a i had to call three times to get a return figured out every time the person who answered barely spoke english they assured me they could help me and not to worry they didn t help me so very frustrated on the third call i asked to speak to a supervisor he fixed the problem in very little time this was not a hard problem to fix they just didn t have command of their job to know what to do it was awful,negative,en
not that great service review text not found,neutral,en
former amazon lover i have been an avid amazon shopper for many years in fact until today i did nearly all my shopping on amazon today a package with guaranteed delivery was lost by shipper i contacted customer service only to get a rep who literally argued with me and insisted on having the last word the worst customer service ever,negative,en
trustworthy for good service i buy anything i can from amazon for a few reasons 1 good reviews that allow me to find the good quality reasonable cost products and avoid the bad ones 2 speedy delivery to my door at a reasonable price now i use amazon prime which is even more reason to go to amazon com 3 they have a great returns policy namely they make it quite easy to return a product should something go wrong most stores you can show up to the store with a receipt and you have to twist their arm for a refund with amazon i just print the return shipping label put it on the box they send me and drop it in a ups box somewhere,positive,en
i m am throttled that we have paid for i m am throttled that we have paid for years for amazon prime and now they are staying that they are prioritizing shipments based on needs i am guessing that someone is in charge of determining need i just broke my last kitchen knife and ordered a set of kitchen knives to replace it it will ship a month out i also ordered a set of side mirrors for a vehicle we are forced to drive to our essential jobs also a month out i m not really sure who decides this but considering we are paying for a service we are not getting perhaps giving us this year free would be great or something in return perhaps even asking if this is a need or a want,negative,en
customer service team are appalling customer service team are appalling spent over an hour in a chat room yesterday it would seem that the initial customer service team member blatantly lied to me about processing a refund his manager ended the conversation saying that the matter had been resolved it had not complained about both of them to another manager again on line they would not comment but just said that the matter would be dealt with internally but that they could not share any feedback with me asked for an email address to further my complaint was told that there was not one they only deal with complaints through chat truly awful customer service team,negative,en
very bad services i experienced and very bad services i experienced and customer care services are one way to defending not resolving a single quary on time,negative,en
good you can buy a lot of stuffs without worrying,positive,en
seller policies are just disgusting seller policies are just disgusting year by year they have made it impossible for resellers to sell,negative,en
worst customer service ever worst customer service ever guy was bored and rude told me to file a police report on an item that said delivered but i did not receive said they did an investigation but have no deliver photo as proof and cannot provide one will not be using again ebay all the way,negative,en
amazon do one amazon well where the hell do i start to say that amazon are a shocking shower of s t would be such a huge understatement i used to have so much confidence and faith in amazon but only until recently they ve gone down hill dramatically and is just a disappointing company i have had numerous packages get lost and when i ve contacted their customer support well they were as much use as a knitted condom and no explanations as to how or why this happened their overall business ethics are just horrifically diabolical and their customer service is just absolutely appalling to say the least they re quick enough to take our hard earned money but when it comes to refunding well it s like trying to pry a mouse from the jaws of a venomous viper i am absolutely disgusted with amazon and their customer service and i do not recommend anybody to use them avoid them like you would a pit full of hungry rats,negative,en
prime is a scam they hook you on a series then pull it half way through twice now i have decided to watch a tv series on amazon prime and on both occasions with no warning you login in one day to watch the next episode and it is no longer on prime so you have to pay extra their latest scam is to make you subscribe to hulu as well so you are paying for both be very mindful before watching any tv series unless you are going to watch them back to back for days on end which would be very sad,negative,en
just order on temu for a fraction of price and good service when you need an item and then there is an issue with delivery to a locker then offer an alternative like it is so unreliable super sh y service do not feed this bad quality machine that sells ali express stuff with 10x price i prefer temu as there at least things arrive on time boycot amazon,negative,en
